Tx,Ty,Tz,Roll,Pitch,Yaw,L0,L1,L2,L3
1753458691.7477884,-3.2306200516972163,-1.5972685318497115,2.307476712914612,0.0,0.0,0.0,2.69528937099854,1.6355747872542101,1.687611542788761,2.583839366200763
1753458692.299459,-4.096311569431656,-2.2767363602886945,1.3782629147549508,0.0,0.0,0.0,2.69528937099854,1.6355747872542101,1.687611542788761,2.5846192745035914
1753458693.3097885,-3.50669941097682,-2.5476586257309606,1.0664096527601301,0.0,0.0,0.0,2.7430865942933704,2.4653675115672833,2.417426563521738,2.698544605823864
1753458693.86555,-3.2515206496805984,-2.472156303245039,1.0996164453115682,0.0,0.0,0.0,2.7430865942933704,2.4656187700015417,2.4180839983252516,2.699767197801179
1753458694.6697996,-2.9337530319746907,-3.425993531604318,1.4670325879989337,0.0,0.0,0.0,2.740140775884966,2.5275483003937294,2.4970728730345306,2.6798962961013384
1753458695.214981,-2.188102958882504,-2.7126528913010173,1.419399951158859,0.0,0.0,0.0,2.740140775884966,2.5275483003937294,2.4973971922184566,2.680705767559254
1753458696.0013964,-1.8516364713525704,-2.326478086137719,2.1416327733297136,0.0,0.0,0.0,2.7231325831836757,2.473076783620796,2.4123857363210286,2.5799418725928547
1753458696.5474749,-2.050262833803763,-2.8662356492133667,2.4340721487589185,0.0,0.0,0.0,2.7231325831836757,2.4725979457610685,2.4122528063013116,2.5799418725928547
1753458697.249204,-2.045415254291968,-4.496540521754049,2.0429848778346678,0.0,0.0,0.0,2.6590709868439397,1.8013426548219997,1.5194793199266048,2.0192785161977693
1753458697.749641,-2.4078248670846856,-4.689312768900904,1.9476759857426869,0.0,0.0,0.0,2.6598735489941268,1.8035188756790528,1.5213149631823772,2.0223281827722115
1753458698.8001716,-2.599331144750244,-4.834581315485968,2.314920197847277,0.0,0.0,0.0,2.7417947725382668,2.6153613427884266,2.1315392283946166,2.4972348904909727
1753458700.0978212,-1.349762434997317,-4.753628040000204,2.270137439480841,0.0,0.0,0.0,2.7339025857348846,2.609244330829828,1.8249928031003972,2.0475839159800775
1753458700.506422,-1.902884654456508,-4.821895624962883,1.024909260044382,0.0,0.0,0.0,2.7339025857348846,2.6084572635065646,1.8249928031003972,2.0475839159800775
1753458701.7318795,-2.1535439337802362,-4.571922405926626,1.1275257622528971,0.0,0.0,0.0,2.743914816553558,2.6571111060134505,2.5233583733926865,2.627063083220532
1753458702.2845683,-2.940535857297124,-4.921285323000704,0.6653868575626056,0.0,0.0,0.0,2.743914816553558,2.6574659203243627,2.523735696015515,2.627063083220532
