Time,Tx,Ty,Tz,Roll,Pitch,Yaw,L0,L1,L2,L3
1753886031.8005474,-0.5066895783920522,0.6394252811529118,0.6288119690450151,0.0,0.0,0.0,2.743914816553558,2.673049521612316,2.6977306589644776,2.7091614947679097
1753886033.2527652,-0.4728305913555424,-0.10020839825719108,0.40033817280086703,0.0,0.0,0.0,2.743914816553558,2.6710621407819812,2.692449645702058,2.698544605823864
1753886035.4715078,-0.43542318213437525,-0.5037291956208119,0.2907900597739439,0.0,0.0,0.0,2.7447432592872723,2.673481434190201,2.696102966104905,2.7091614947679097
1753886036.8765242,-0.34521480849082664,-0.6265346869227866,0.3563121509302998,0.0,0.0,0.0,2.7447432592872723,2.673481434190201,2.696102966104905,2.708344104617176
1753886037.529996,-0.5229591233797564,-0.40847536663937767,0.818162386658293,0.0,0.0,0.0,2.7447432592872723,2.6726749352329033,2.695692960874288,2.708344104617176
1753886038.4676666,0.09448479136706567,0.27158732104474304,0.14492480171111222,0.0,0.0,0.0,2.745104167477475,2.6726749352329033,2.692449645702058,2.7038444775965362
1753886041.1423326,-0.21558812943462424,0.9424376585914782,-0.03353817693182304,0.0,0.0,0.0,2.743914816553558,2.671868504035743,2.6969167789958517,2.7091614947679097
1753886043.324386,0.6453754525295965,0.8247582681269687,0.5481779741482917,0.0,0.0,0.0,2.7430865942933704,2.671868504035743,2.694475843206876,2.6993586193869126
1753886045.062208,0.7660381557726135,0.8933317436252235,1.1756905617733597,0.0,0.0,0.0,2.741430347922228,2.671868504035743,2.6892018295336073,2.698544605823864
1753886045.7345786,0.655827748881114,1.0550808593878438,1.3420450791726086,0.0,0.0,0.0,2.7409676642529894,2.6710621407819812,2.689597600929867,2.6977306589644776
1753886046.3937826,0.795906664185539,1.324269583454205,2.146968755929107,0.0,0.0,0.0,2.7409676642529894,2.670627696676625,2.687185772513368,2.6977306589644776
1753886047.5762398,0.013201224624826757,0.7851499397871153,2.076838323218901,0.0,0.0,0.0,2.7356375873192538,2.6674702519200846,2.673481434190201,2.6770883065079136
1753886048.1501102,-0.405689323093811,1.2761916415477845,1.0968131239748247,0.0,0.0,0.0,2.736008246735628,2.6674702519200846,2.673049521612316,2.6778963568939864
1753886050.1892564,0.2718024295237651,1.9996747455646302,0.5015158292719244,0.0,0.0,0.0,2.741430347922228,2.6690137881728635,2.687185772513368,2.6993586193869126
1753886050.7116535,-0.6038563795467784,1.944101940800154,-0.49033767070384116,0.0,0.0,0.0,2.742258283546699,2.6694499155584746,2.687185772513368,2.698544605823864
1753886052.9616053,-0.5465719409121021,1.6425593428859067,-1.0395599121329746,0.0,0.0,0.0,2.743914816553558,2.671434902877015,2.6977306589644776,2.709979103260019
1753886055.424663,0.3037875111748427,1.6712464628680586,-1.6098890859967745,0.0,0.0,0.0,2.7442766438480266,2.6726749352329033,2.7013977574512396,2.712432479164965
1753886057.3892455,0.990185241035495,2.08764694432627,-2.096650732175,0.0,0.0,0.0,2.7442766438480266,2.673481434190201,2.7022132135294203,2.7128577090270243
1753886058.0618048,1.4063815029866262,2.2804328889917693,-1.9985429725230057,0.0,0.0,0.0,2.7442766438480266,2.673481434190201,2.7013977574512396,2.7128577090270243
1753886058.9971712,1.4626618898973955,2.970218111680225,-1.6640178166785553,0.0,0.0,0.0,2.7442766438480266,2.673481434190201,2.7022132135294203,2.7128577090270243
1753886061.1865995,1.2383255362317156,3.2736799539756376,-1.5053045531610054,0.0,0.0,0.0,2.7430865942933704,2.672242177916541,2.7013977574512396,2.7120387975619624
1753886061.8545458,0.7909944852025328,2.9291247212611466,-1.2306925684781134,0.0,0.0,0.0,2.7430865942933704,2.672242177916541,2.7013977574512396,2.7120387975619624
1753886063.0237489,-0.043489490618880744,2.5783799376140983,-1.2778020780050758,0.0,0.0,0.0,2.7430865942933704,2.6726749352329033,2.7005823685142465,2.7120387975619624
