Tx,Ty,Tz,Roll,Pitch,Yaw,L0,L1,L2,L3
1760694110.6753466,0.0,0.0,0.0,0.0,0.0,0.0,2.7314283216687167,2.6598735489941268,2.690013570098739,2.698544605823864
1760694111.389029,0.015898516843908122,0.00518421569548166,0.0,0.0,0.0,0.0,2.7314283216687167,2.6602321638308566,2.690013570098739,2.6989520944670997
1760694112.3515387,0.02701605475686672,0.01971518466125067,0.0,0.0,0.0,0.0,2.7314283216687167,2.6598735489941268,2.6892018295336073,2.6993586193869126
1760694112.81419,0.029359476636748972,0.04067888277148192,0.0,0.0,0.0,0.0,2.7314283216687167,2.6606763269137086,2.690013570098739,2.6989520944670997
1760694113.2789469,0.02040248676224867,0.06370213039867038,0.0,0.0,0.0,0.0,2.7314283216687167,2.6598735489941268,2.690013570098739,2.6993586193869126
1760694114.2481418,-0.0004392537838884594,0.08361088632137598,0.0,0.0,0.0,0.0,2.7314283216687167,2.6598735489941268,2.6892018295336073,2.69813705869903
1760694114.7143533,-0.03160599972139944,0.095226373811513,0.0,0.0,0.0,0.0,2.7314283216687167,2.6602321638308566,2.6892018295336073,2.6993586193869126
1760694115.1761682,-0.06949894271187594,0.09419238049005614,0.0,0.0,0.0,0.0,2.7314283216687167,2.6598735489941268,2.6892018295336073,2.6989520944670997
1760694116.1393983,-0.10888682854223965,0.07772097595671748,0.0,0.0,0.0,0.0,2.7314283216687167,2.6598735489941268,2.690013570098739,2.6989520944670997
1760694117.0528038,-0.1435689794122579,0.04515198221341633,0.0,0.0,0.0,0.0,2.7314283216687167,2.6598735489941268,2.6892018295336073,2.698544605823864
1760694117.521858,-0.16721484983202073,-0.0017569908894541975,0.0,0.0,0.0,0.0,2.7314283216687167,2.6598735489941268,2.690013570098739,2.698544605823864
1760694117.8936021,-0.1742748670456522,-0.05886069377802636,0.0,0.0,0.0,0.0,2.7314283216687167,2.6602321638308566,2.690013570098739,2.6989520944670997
1760694118.860338,-0.1608445194812914,-0.11998769313370815,0.0,0.0,0.0,0.0,2.7314283216687167,2.6606763269137086,2.690013570098739,2.698544605823864
1760694119.324108,-0.12536528741627548,-0.17760215065444393,0.0,0.0,0.0,0.0,2.7314283216687167,2.6606763269137086,2.690013570098739,2.6989520944670997
1760694120.0399585,-0.06906219141658021,-0.22369542695045894,0.0,0.0,0.0,0.0,2.7314283216687167,2.6598735489941268,2.6892018295336073,2.698544605823864
1760694120.4961157,0.003953138579402053,-0.25080496803964325,0.0,0.0,0.0,0.0,2.7314283216687167,2.6606763269137086,2.6892018295336073,2.698544605823864
1760694120.9605584,0.08694608032852043,-0.25303743843572535,0.0,0.0,0.0,0.0,2.7314283216687167,2.6606763269137086,2.6892018295336073,2.698544605823864
1760694121.4280133,0.1711772925779496,-0.22696692564629153,0.0,0.0,0.0,0.0,2.731878761790689,2.6602321638308566,2.6892018295336073,2.6989520944670997
1760694122.0496037,0.24681918911783657,-0.17228842466145428,0.0,0.0,0.0,0.0,2.730603750580627,2.6598735489941268,2.6892018295336073,2.698544605823864
1760694122.4119554,0.3040748553281,-0.09213108142315198,0.0,0.0,0.0,0.0,2.7314283216687167,2.6606763269137086,2.6892018295336073,2.6989520944670997
1760694123.1283658,0.3343743190888209,0.007027575628252587,0.0,0.0,0.0,0.0,2.7314283216687167,2.6598735489941268,2.6892018295336073,2.6989520944670997
1760694123.5845103,0.33150754552080824,0.1158598959383202,0.0,0.0,0.0,0.0,2.730603750580627,2.6598735489941268,2.690013570098739,2.6989520944670997
1760694124.300192,0.2925540820186545,0.22306355891867177,0.0,0.0,0.0,0.0,2.7314283216687167,2.6602321638308566,2.690013570098739,2.6989520944670997
1760694124.754173,0.2184864410504446,0.3165322561129447,0.0,0.0,0.0,0.0,2.730603750580627,2.6606763269137086,2.689597600929867,2.698544605823864
1760694125.470703,0.11435666567139882,0.38470063272548133,0.0,0.0,0.0,0.0,2.7314283216687167,2.6598735489941268,2.690013570098739,2.698544605823864
1760694126.5903046,-0.010980132327360686,0.4179159820794026,0.0,0.0,0.0,0.0,2.730603750580627,2.6598735489941268,2.690013570098739,2.6993586193869126
1760694127.0546274,-0.14559983137868956,0.4096786617907916,0.0,0.0,0.0,0.0,2.7314283216687167,2.6598735489941268,2.690013570098739,2.698544605823864
1760694127.5205407,-0.2756422714446694,0.35760050100401863,0.0,0.0,0.0,0.0,2.7314283216687167,2.6598735489941268,2.690013570098739,2.6993586193869126
1760694127.984946,-0.3867356362523154,0.2639554298357031,0.0,0.0,0.0,0.0,2.7314283216687167,2.6590709868439397,2.690013570098739,2.698544605823864
1760694128.6938353,-0.4655661134932168,0.1357370040785261,0.0,0.0,0.0,0.0,2.7314283216687167,2.6598735489941268,2.6892018295336073,2.698544605823864
1760694129.9103062,-0.5014230373848751,-0.015810590491941365,0.0,0.0,0.0,0.0,2.7314283216687167,2.6598735489941268,2.6892018295336073,2.6989520944670997
1760694130.8780398,-0.48754427698686215,-0.17616353173215887,0.0,0.0,0.0,0.0,2.732252959057337,2.6598735489941268,2.6892018295336073,2.698544605823864
1760694131.8507113,-0.4221007246330092,-0.32890917105291645,0.0,0.0,0.0,0.0,2.732252959057337,2.6598735489941268,2.6892018295336073,2.6989520944670997
1760694132.8163898,-0.30869152434440783,-0.45742358684289447,0.0,0.0,0.0,0.0,2.732252959057337,2.6602321638308566,2.6892018295336073,2.69813705869903
1760694133.7823658,-0.15627020313083917,-0.5466646384576481,0.0,0.0,0.0,0.0,2.731878761790689,2.6598735489941268,2.6883901564550157,2.6989520944670997
1760694134.246456,0.021518683470101982,-0.5848885669706808,0.0,0.0,0.0,0.0,2.7314283216687167,2.6606763269137086,2.6887849987982997,2.6989520944670997
1760694134.9632554,0.20754859649986163,-0.5650978974013137,0.0,0.0,0.0,0.0,2.732252959057337,2.6606763269137086,2.6892018295336073,2.6993586193869126
1760694135.428902,0.3828599604436083,-0.4860493248129639,0.0,0.0,0.0,0.0,2.732252959057337,2.6606763269137086,2.6892018295336073,2.6989520944670997
1760694136.1432655,0.5285903381495376,-0.3526908981572604,0.0,0.0,0.0,0.0,2.7314283216687167,2.6606763269137086,2.6892018295336073,2.698544605823864
1760694136.5611243,0.6279895352268254,-0.17595441597197314,0.0,0.0,0.0,0.0,2.7314283216687167,2.6610358424182903,2.6892018295336073,2.6989520944670997
1760694137.3877037,0.6683056547124729,0.02810409615388413,0.0,0.0,0.0,0.0,2.7314283216687167,2.6606763269137086,2.690013570098739,2.698544605823864
1760694137.8528678,0.6423330461766783,0.23975257971075312,0.0,0.0,0.0,0.0,2.7314283216687167,2.6606763269137086,2.690013570098739,2.698544605823864
1760694138.816562,0.5494409035784249,0.4374903043167933,0.0,0.0,0.0,0.0,2.730603750580627,2.6602321638308566,2.6908255281110494,2.698544605823864
1760694140.2815988,0.39594976528561865,0.6002300936596492,0.0,0.0,0.0,0.0,2.730603750580627,2.6606763269137086,2.6908255281110494,2.698544605823864
1760694140.6512258,0.19478784248919723,0.7095341184970383,0.0,0.0,0.0,0.0,2.730603750580627,2.6598735489941268,2.6908255281110494,2.698544605823864
1760694141.2707112,-0.03556646499230464,0.7516673867142974,0.0,0.0,0.0,0.0,2.730603750580627,2.6598735489941268,2.6908255281110494,2.698544605823864
1760694141.725189,-0.27277299003271943,0.7192432636041654,0.0,0.0,0.0,0.0,2.730603750580627,2.659428406697048,2.690013570098739,2.698544605823864
1760694142.6380513,-0.4927958295705807,0.6122700933403834,0.0,0.0,0.0,0.0,2.7314283216687167,2.659428406697048,2.690013570098739,2.6989520944670997
1760694144.0942314,-0.6723370303489294,0.43846438034696245,0.0,0.0,0.0,0.0,2.7314283216687167,2.6590709868439397,2.689597600929867,2.69813705869903
1760694145.3020337,-0.7912916903598858,0.21276872939778702,0.0,0.0,0.0,0.0,2.732252959057337,2.659428406697048,2.690013570098739,2.698544605823864
1760694145.7681162,-0.8349668516266895,-0.043905378006408646,0.0,0.0,0.0,0.0,2.732252959057337,2.6590709868439397,2.6892018295336073,2.6993586193869126
1760694146.484902,-0.7958221074213939,-0.3066072908855673,0.0,0.0,0.0,0.0,2.732252959057337,2.659428406697048,2.6892018295336073,2.6989520944670997
1760694146.8569508,-0.6745315571342785,-0.5487721255009153,0.0,0.0,0.0,0.0,2.732252959057337,2.6598735489941268,2.6892018295336073,2.69813705869903
1760694147.8222494,-0.4802310387386858,-0.7449052989482265,0.0,0.0,0.0,0.0,2.732704371515567,2.6602321638308566,2.6892018295336073,2.6989520944670997
1760694148.1951125,-0.22989537032345703,-0.8732555406098768,0.0,0.0,0.0,0.0,2.732252959057337,2.6598735489941268,2.6883901564550157,2.698544605823864
1760694149.4078057,0.05312037480632922,-0.9181971409646698,0.0,0.0,0.0,0.0,2.732252959057337,2.6606763269137086,2.6887849987982997,2.6993586193869126
