timestamp,L0,L1,L2,L3,dX,dY,dZ
4.933780e+07,2.749716,2.678705,2.705892,2.719027,0.731012,3.119264,-2.313770
4.938667e+07,2.749360,2.678705,2.705892,2.718206,0.782587,3.041683,-2.315556
4.939904e+07,2.749360,2.678278,2.706710,2.718206,0.781659,3.144446,-2.321324
4.941300e+07,2.749360,2.677896,2.706292,2.718206,0.730317,3.131035,-2.322282
4.942579e+07,2.749716,2.677896,2.705892,2.718206,0.682709,3.092674,-2.320051
4.944038e+07,2.749360,2.678705,2.706710,2.719027,0.797133,3.195841,-2.317575
4.945579e+07,2.749360,2.678278,2.705892,2.719027,0.724178,3.148915,-2.317370
4.946960e+07,2.749716,2.678705,2.706292,2.718206,0.770222,3.076596,-2.316239
4.948317e+07,2.749360,2.677896,2.705892,2.718206,0.712744,3.094295,-2.320833
4.956691e+07,2.750190,2.677896,2.706710,2.718206,0.678565,3.165591,-2.321981
4.961366e+07,2.750190,2.678278,2.705892,2.719027,0.653908,3.145075,-2.315489
4.972397e+07,2.750190,2.678278,2.706710,2.718206,0.711605,3.140561,-2.319505
4.973666e+07,2.749360,2.678705,2.706710,2.719027,0.797133,3.195841,-2.317575
4.975199e+07,2.749360,2.677896,2.705892,2.718206,0.712744,3.094295,-2.320833
4.985054e+07,2.750190,2.678278,2.705892,2.719027,0.653908,3.145075,-2.315489
4.986708e+07,2.750190,2.677896,2.706710,2.718206,0.678565,3.165591,-2.321981
4.988504e+07,2.749360,2.677896,2.705892,2.719027,0.691263,3.173897,-2.319850
4.989945e+07,2.749360,2.677896,2.705892,2.718206,0.712744,3.094295,-2.320833
4.991383e+07,2.750190,2.677896,2.706292,2.718206,0.660212,3.127279,-2.320457
4.992741e+07,2.749360,2.677896,2.706710,2.719027,0.727242,3.248987,-2.322812
4.994154e+07,2.750190,2.677896,2.706710,2.718206,0.678565,3.165591,-2.321981
4.997272e+07,2.750190,2.677896,2.705892,2.718206,0.642674,3.090580,-2.318986
4.998693e+07,2.749360,2.677896,2.706710,2.718206,0.748706,3.169390,-2.323785
5.000016e+07,2.749360,2.677896,2.706710,2.718206,0.748706,3.169390,-2.323785
5.001321e+07,2.749360,2.677896,2.705892,2.718206,0.712744,3.094295,-2.320833
5.002793e+07,2.749360,2.677896,2.705892,2.717818,0.722902,3.056593,-2.321291
5.004147e+07,2.750190,2.677896,2.703844,2.716135,0.608371,2.701400,-2.313797
5.005374e+07,2.749716,2.677896,2.696103,2.704660,0.621576,0.905325,-2.296721
5.006731e+07,2.749360,2.677896,2.680706,2.668275,0.980343,-2.945757,-2.251627
5.008160e+07,2.748530,2.677896,2.637716,2.487129,3.344265,-5.584627,-1.682774
5.009497e+07,2.749360,2.677088,2.610031,2.350732,4.061216,-5.283261,-1.174222
5.020029e+07,2.594033,2.534829,1.896695,1.966685,-1.549282,-3.054198,-0.108697
5.021278e+07,2.591682,2.511197,1.894977,1.975020,-1.719148,-2.958353,-0.106870
5.023180e+07,2.583060,2.463384,1.896695,1.984403,-1.835981,-2.984265,-0.090353
5.024440e+07,2.571655,2.415168,1.900708,1.996084,-1.865532,-3.275022,-0.060623
5.025770e+07,2.546545,2.377215,1.901281,1.998493,-1.809805,-3.392872,-0.028670
5.027074e+07,2.481581,2.338010,1.900134,1.992207,-1.384699,-3.131384,-0.065618
5.028531e+07,2.392401,2.345068,1.896695,1.977404,-0.673191,-2.749525,-0.191219
5.039103e+07,2.339422,2.619312,2.076706,1.924102,-0.660085,-1.591728,-0.559352
5.040561e+07,2.342945,2.619312,2.070717,1.924102,-0.684218,-1.579503,-0.565941
5.042157e+07,2.347180,2.615059,2.055354,1.924102,-0.835476,-1.605051,-0.586533
5.045651e+07,2.346483,2.596106,2.018059,1.931870,-1.186757,-1.687941,-0.614958
5.047001e+07,2.346483,2.596386,2.018059,1.932834,-1.168631,-1.677079,-0.613725
5.048501e+07,2.347191,2.596890,2.018059,1.932453,-1.173268,-1.677151,-0.613966
5.056016e+07,2.346483,2.596106,2.017450,1.932453,-1.184378,-1.683653,-0.614362
5.057392e+07,2.346483,2.596386,2.017450,1.932251,-1.189546,-1.684939,-0.614181
5.058828e+07,2.346483,2.596106,2.018059,1.932453,-1.175093,-1.681860,-0.614432
5.060203e+07,2.346483,2.596106,2.018059,1.931870,-1.186757,-1.687941,-0.614958
5.061565e+07,2.346483,2.596106,2.017450,1.932453,-1.184378,-1.683653,-0.614362
5.063048e+07,2.346483,2.596666,2.017450,1.931870,-1.198257,-1.688083,-0.614156
5.064332e+07,2.346483,2.596106,2.017450,1.932453,-1.184378,-1.683653,-0.614362
5.068505e+07,2.346483,2.596386,2.017450,1.932251,-1.189546,-1.684939,-0.614181
5.069820e+07,2.346483,2.596106,2.018059,1.931668,-1.190785,-1.690042,-0.615139
5.071315e+07,2.347191,2.596106,2.017450,1.931870,-1.190992,-1.687284,-0.615432
5.072622e+07,2.347191,2.596106,2.017450,1.931870,-1.190992,-1.687284,-0.615432
5.073836e+07,2.346483,2.596106,2.017450,1.931870,-1.196026,-1.689736,-0.614883
5.075161e+07,2.346483,2.596106,2.017450,1.931870,-1.196026,-1.689736,-0.614883
5.076477e+07,2.346483,2.596386,2.018059,1.932251,-1.180272,-1.683153,-0.614251
5.078065e+07,2.346483,2.596106,2.017450,1.932453,-1.184378,-1.683653,-0.614362
