timestamp,L0,L1,L2,L3,dX,dY,dZ
276784339,2.102044,2.185986,2.657018,2.434700,2.851435,1.984660,-0.311650
276824217,2.141211,2.224094,2.659071,2.449777,1.973243,2.263884,-0.338308
276892016,2.206586,2.284117,2.664252,2.478444,0.776034,2.621367,-0.417605
276961631,2.252939,2.324701,2.667033,2.496480,0.631048,2.650492,-0.491069
277019814,2.303946,2.370043,2.670628,2.516511,1.179479,2.130255,-0.610078
277033564,2.319125,2.382995,2.671869,2.521449,1.424093,1.886178,-0.653049
277048128,2.324701,2.386593,2.672675,2.521640,1.499708,1.804016,-0.665527
277063439,2.312130,2.376497,2.671062,2.519738,1.304558,2.004117,-0.631652
277078660,2.294229,2.360693,2.670256,2.511019,1.026256,2.277003,-0.581447
277091888,2.290763,2.358557,2.669450,2.510262,0.985594,2.310361,-0.575731
277106038,2.297697,2.364270,2.671062,2.513076,1.080699,2.237465,-0.590986
277200628,2.346483,2.406309,2.673857,2.532736,1.851036,1.477962,-0.737084
277214001,2.350732,2.409403,2.666666,2.514415,1.839016,1.234370,-0.757633
277230509,2.340834,2.399003,2.651504,2.486527,1.633107,1.102508,-0.736452
277243787,2.330957,2.386593,2.641235,2.472197,1.470993,1.103746,-0.705840
277257507,2.319825,2.374345,2.630559,2.455082,1.329972,1.092872,-0.673660
277271351,2.308072,2.362843,2.628175,2.447237,1.215403,1.206039,-0.639859
277285286,2.297697,2.354287,2.625954,2.445228,1.130445,1.308323,-0.616880
277298433,2.294922,2.352154,2.625954,2.442909,1.110712,1.337176,-0.610021
277381276,2.295616,2.352865,2.625954,2.443648,1.116493,1.329334,-0.612197
277395402,2.303946,2.360693,2.626746,2.447237,1.190746,1.233556,-0.634436
277424816,2.338716,2.396107,2.629444,2.456452,1.535168,0.817079,-0.737140
277439026,2.342238,2.399003,2.630237,2.458055,1.562913,0.792310,-0.746212
277451921,2.340834,2.398279,2.629764,2.457820,1.557107,0.798622,-0.744049
277464442,2.348600,2.404132,2.631031,2.463384,1.617901,0.753827,-0.764824
277479647,2.354287,2.412319,2.627857,2.456452,1.662581,0.632567,-0.785444
277494295,2.338010,2.404074,2.609244,2.425544,1.549925,0.516098,-0.744608
277509878,2.350732,2.418887,2.594540,2.418157,1.639599,0.281396,-0.782060
277523624,2.356421,2.429376,2.579682,2.407823,1.695621,0.114934,-0.798933
277538449,2.362130,2.445023,2.551607,2.391767,1.780728,-0.132393,-0.812358
277551373,2.370043,2.462639,2.528907,2.380805,1.827777,-0.337652,-0.826257
277572420,2.377215,2.471717,2.524498,2.382276,1.829169,-0.382730,-0.844209
277584623,2.367177,2.464999,2.519550,2.373628,1.843646,-0.419614,-0.812329
277597045,2.359981,2.457078,2.516119,2.365697,1.816387,-0.429841,-0.786008
277610589,2.355710,2.454113,2.514992,2.350732,1.753847,-0.455283,-0.763167
277622940,2.359981,2.457078,2.516695,2.367839,1.828175,-0.421105,-0.788049
277696376,2.393122,2.481581,2.534269,2.398279,1.815155,-0.286016,-0.896289
277760119,2.440401,2.540403,2.511777,2.402625,1.546807,-0.680785,-0.926621
277775313,2.448295,2.551061,2.504034,2.400451,1.456156,-0.854249,-0.902155
277789396,2.455481,2.560025,2.500090,2.399003,1.391146,-1.003250,-0.881528
277892619,2.489983,2.597170,2.480083,2.385154,1.228712,-1.899244,-0.735043
277905437,2.476810,2.592699,2.468472,2.369326,1.207767,-1.993678,-0.695568
277920247,2.464624,2.588009,2.458055,2.350732,1.181869,-2.120276,-0.661645
277933332,2.456452,2.585399,2.451150,2.350732,1.197540,-2.083760,-0.648804
277946422,2.460046,2.587228,2.454968,2.350732,1.193300,-2.102654,-0.654092
278027541,2.644425,2.653906,2.442909,2.375753,2.122447,-2.944485,-0.728761
278039892,2.651504,2.654707,2.444183,2.377933,2.071192,-2.993864,-0.753812
278052935,2.650704,2.655059,2.443547,2.377243,2.080865,-2.995491,-0.749308
278065330,2.652305,2.655509,2.448082,2.382276,2.105010,-2.984999,-0.764118
278078745,2.653106,2.655509,2.448715,2.382995,2.101290,-2.987487,-0.768203
278093330,2.653906,2.656310,2.452520,2.386593,2.138949,-2.983901,-0.778223
278126496,2.658714,2.657822,2.457078,2.390279,2.161865,-3.025091,-0.801569
278142723,2.661479,2.657913,2.457820,2.390237,2.148874,-3.051612,-0.811285
278156366,2.661479,2.658268,2.457820,2.390321,2.154591,-3.056427,-0.810842
278169434,2.660676,2.658268,2.459304,2.391001,2.181429,-3.044679,-0.811173
278182785,2.674665,2.662644,2.461772,2.391679,2.146796,-3.263524,-0.853783
278196659,2.698545,2.668644,2.469346,2.392401,2.096056,-3.736477,-0.931384
278209953,2.721105,2.673050,2.479940,2.391679,2.103941,-4.288289,-1.003830
278224328,2.734728,2.675095,2.494652,2.390237,2.264118,-4.661489,-1.055559
278237286,2.740141,2.676660,2.508746,2.396107,2.438116,-4.832062,-1.095648
278250058,2.743087,2.677088,2.518216,2.398330,2.556038,-4.919658,-1.121211
278361390,2.748530,2.677088,2.565207,2.422539,2.997072,-5.074969,-1.282142
278374056,2.748530,2.677896,2.583060,2.435345,3.149374,-5.177026,-1.359086
278389993,2.748530,2.677896,2.598739,2.451150,3.191136,-5.258291,-1.449538
278404035,2.748530,2.677896,2.607176,2.463881,3.154698,-5.315853,-1.514980
278416135,2.749360,2.677896,2.615059,2.473958,3.133070,-5.398311,-1.572818
278504719,2.749360,2.677088,2.638378,2.508571,2.984907,-5.539159,-1.768297
