timestamp,L0,L1,L2,L3,dX,dY,dZ
45762626,2.782059,2.702245,2.733396,2.702245,1.970716,2.198902,-2.153779
45775476,2.781746,2.702739,2.733396,2.704965,1.936835,2.389140,-2.148201
45790591,2.781551,2.702739,2.732897,2.703733,1.980411,2.252951,-2.148063
45803551,2.781746,2.702495,2.732624,2.703232,1.946505,2.206924,-2.148146
45817774,2.781746,2.702495,2.732624,2.703733,1.926261,2.247967,-2.147552
45831875,2.781746,2.702739,2.733123,2.706700,1.853621,2.508387,-2.144592
45844892,2.781746,2.702001,2.733396,2.706447,1.804329,2.558546,-2.152411
45858718,2.781746,2.702495,2.733896,2.704965,1.936465,2.442481,-2.152856
45871975,2.781746,2.702495,2.733396,2.702989,1.992770,2.244680,-2.152544
45886250,2.781746,2.702495,2.733396,2.706447,1.852837,2.524841,-2.148375
45900571,2.781746,2.702495,2.733896,2.704471,1.956458,2.402538,-2.153448
45931726,2.781746,2.702739,2.733396,2.703977,1.976831,2.309058,-2.149384
45946549,2.782059,2.702495,2.733396,2.704227,1.914965,2.344408,-2.149395
45961172,2.782254,2.702495,2.733396,2.705711,1.837294,2.463363,-2.146513
45975473,2.781746,2.702495,2.733670,2.704471,1.945793,2.385841,-2.152251
45989445,2.781746,2.702495,2.733396,2.701507,2.052599,2.122659,-2.154237
46004463,2.781551,2.702739,2.733396,2.705711,1.924064,2.450206,-2.148355
46017923,2.782059,2.702495,2.733396,2.702001,2.005222,2.162198,-2.152010
46032298,2.782254,2.702495,2.732897,2.705459,1.824016,2.406257,-2.144136
46046273,2.781746,2.702495,2.733170,2.703977,1.942181,2.308598,-2.150182
46060273,2.781746,2.702495,2.733396,2.701258,2.062635,2.102062,-2.154516
46078523,2.781746,2.702739,2.732897,2.703482,1.973260,2.231623,-2.147302
46091791,2.782059,2.702245,2.733123,2.703977,1.887680,2.320416,-2.150285
46104122,2.781746,2.702495,2.732897,2.704227,1.919130,2.308685,-2.148421
46117745,2.781746,2.702739,2.732624,2.701507,2.040238,2.048504,-2.148131
46131336,2.782059,2.702739,2.733896,2.703482,1.992790,2.304541,-2.150941
46144721,2.781746,2.702245,2.733396,2.702001,2.008075,2.179974,-2.155726
46157694,2.781746,2.702739,2.733123,2.704227,1.953768,2.309152,-2.147625
46169745,2.781746,2.702245,2.733123,2.702989,1.955294,2.240843,-2.153141
46184714,2.781746,2.702495,2.733396,2.704965,1.912860,2.405572,-2.150199
46198441,2.781746,2.702739,2.733396,2.702744,2.026656,2.208461,-2.150825
46218471,2.782059,2.702245,2.733396,2.703977,1.900578,2.340768,-2.151743
46232210,2.781551,2.702739,2.733896,2.706447,1.917905,2.545855,-2.150118
46247395,2.782254,2.702495,2.733123,2.705711,1.824399,2.443220,-2.145040
46261369,2.782059,2.702495,2.733396,2.702739,1.975326,2.222886,-2.151157
46275086,2.782059,2.702495,2.733396,2.703482,1.945179,2.283749,-2.150284
46289269,2.781746,2.702495,2.733396,2.704722,1.922687,2.385915,-2.150492
46303334,2.781746,2.702495,2.733396,2.702495,2.012723,2.204133,-2.153115
46317017,2.782059,2.702495,2.733396,2.701752,2.015308,2.141649,-2.152295
46331169,2.781746,2.702245,2.733896,2.704722,1.921759,2.439731,-2.155183
46344720,2.781746,2.702495,2.734395,2.705459,1.940119,2.519030,-2.154907
46363038,2.782059,2.702245,2.733396,2.702245,1.970716,2.198902,-2.153779
46375870,2.782254,2.702495,2.732897,2.704965,1.844115,2.366326,-2.144750
46390044,2.782059,2.702495,2.733396,2.703482,1.945179,2.283749,-2.150284
46404915,2.782059,2.702245,2.733896,2.706700,1.813660,2.597162,-2.151062
