timestamp,L0,L1,L2,L3,dX,dY,dZ
458514496,2.781746,2.702495,2.732897,2.704965,1.889302,2.368589,-2.147529
458527790,2.781746,2.702495,2.732897,2.702245,1.999247,2.146147,-2.150753
458543495,2.781551,2.702739,2.733123,2.703232,2.011280,2.228850,-2.149854
458557573,2.782059,2.702245,2.732624,2.704227,1.854013,2.303727,-2.147311
458572271,2.782059,2.702495,2.733396,2.704471,1.905102,2.364136,-2.149102
458586873,2.781746,2.702495,2.733123,2.703977,1.939927,2.305042,-2.149927
458601223,2.782059,2.702739,2.733396,2.706205,1.858632,2.487369,-2.144969
458615998,2.781746,2.702495,2.733123,2.700768,2.069513,2.040713,-2.153619
458633326,2.781551,2.702989,2.732897,2.704965,1.955165,2.336401,-2.144539
458646415,2.781746,2.702495,2.733123,2.702739,1.989958,2.203725,-2.151383
458659795,2.781551,2.702495,2.732624,2.705711,1.863675,2.409634,-2.146213
458680969,2.781746,2.702495,2.733396,2.704965,1.912860,2.405572,-2.150199
458695286,2.781746,2.702495,2.733396,2.701262,2.062489,2.102362,-2.154512
458709172,2.782059,2.702739,2.732897,2.703977,1.925617,2.270584,-2.145014
458722667,2.782059,2.702245,2.732897,2.703733,1.886911,2.283701,-2.149371
458736344,2.782059,2.702739,2.732125,2.706205,1.798782,2.393849,-2.138081
458750221,2.781746,2.702495,2.733396,2.703977,1.952835,2.325385,-2.151384
458764418,2.781551,2.702739,2.733123,2.705711,1.911147,2.430046,-2.146890
458779170,2.781746,2.702495,2.732897,2.709429,1.708421,2.724650,-2.141842
458792587,2.782059,2.702739,2.732397,2.702495,1.962241,2.111928,-2.144091
458807170,2.781551,2.702739,2.732897,2.701752,2.060351,2.090096,-2.150354
458825570,2.782059,2.702495,2.733123,2.703733,1.922120,2.283836,-2.148526
458839294,2.781746,2.702495,2.732897,2.704471,1.909297,2.328471,-2.148128
458853284,2.782059,2.702744,2.732897,2.703733,1.936063,2.250359,-2.145259
458867818,2.781746,2.702989,2.733396,2.706447,1.901266,2.491318,-2.144337
458883121,2.781551,2.702739,2.732897,2.705459,1.910683,2.393060,-2.145987
458897512,2.781746,2.702744,2.733123,2.702989,2.004446,2.207666,-2.149039
458911668,2.782059,2.702495,2.733396,2.702989,1.965201,2.243365,-2.150865
458926785,2.781746,2.702495,2.733123,2.707689,1.789600,2.603808,-2.145333
458940869,2.782254,2.702739,2.733396,2.706953,1.810698,2.546035,-2.142948
458954919,2.781551,2.702744,2.732897,2.703733,1.980976,2.252569,-2.148016
458974868,2.781746,2.702495,2.733396,2.705953,1.872855,2.485217,-2.148989
458988266,2.782254,2.702495,2.732897,2.703482,1.904364,2.245734,-2.146553
459001489,2.781746,2.702495,2.732624,2.704227,1.906266,2.288355,-2.146959
459015489,2.782254,2.702744,2.733396,2.704471,1.912317,2.346470,-2.145986
459029992,2.781746,2.702495,2.733123,2.705216,1.889765,2.405684,-2.148431
459044818,2.781746,2.702495,2.732897,2.703239,1.959106,2.227882,-2.149597
459058662,2.782059,2.702739,2.733123,2.703977,1.936258,2.287362,-2.146227
459072616,2.782059,2.702739,2.732897,2.703977,1.925617,2.270584,-2.145014
459086156,2.781746,2.702245,2.732897,2.704471,1.884762,2.345210,-2.150178
459100591,2.781746,2.702495,2.732624,2.704471,1.896432,2.308164,-2.146665
459123191,2.782059,2.702739,2.733123,2.703482,1.956305,2.247105,-2.146816
459136439,2.782059,2.702495,2.733123,2.702245,1.982425,2.161844,-2.150275
459149040,2.781551,2.702495,2.732897,2.702739,1.996532,2.187622,-2.151232
459161865,2.781746,2.702495,2.732897,2.703977,1.929279,2.288228,-2.148722
459174781,2.782059,2.702739,2.732897,2.702989,1.965698,2.189871,-2.146190
459186690,2.781746,2.702245,2.732624,2.704965,1.851914,2.365096,-2.148115
459200188,2.782059,2.702495,2.733396,2.706700,1.814572,2.543504,-2.146346
459214314,2.782059,2.702495,2.732897,2.704471,1.881561,2.327099,-2.146426
459228162,2.781551,2.702739,2.733396,2.703733,2.003979,2.290124,-2.150724
459241189,2.782059,2.702739,2.732624,2.706458,1.811954,2.450873,-2.140473
459261039,2.781746,2.702495,2.733396,2.702495,2.012723,2.204133,-2.153115
