timestamp,L0,L1,L2,L3,dX,dY,dZ
439719255,2.688218,2.600184,2.619685,2.633697,-0.206731,-0.868781,-2.031763
439735704,2.688218,2.599709,2.619020,2.634856,-0.234616,-0.852504,-2.031768
439761045,2.687980,2.599709,2.619207,2.633609,-0.210851,-0.862793,-2.028459
439779852,2.687727,2.600012,2.619020,2.634375,-0.210924,-0.859669,-2.030109
439798073,2.687727,2.599537,2.618542,2.635819,-0.240590,-0.837589,-2.031113
439816770,2.687980,2.599709,2.619685,2.633697,-0.207749,-0.855683,-2.029548
439835771,2.688457,2.600487,2.619977,2.633412,-0.202144,-0.877953,-2.033296
439849677,2.688471,2.600012,2.619499,2.632254,-0.199262,-0.887649,-2.028201
439864025,2.687489,2.599233,2.618542,2.634375,-0.220704,-0.846071,-2.026057
439877502,2.687980,2.600012,2.618728,2.634659,-0.223721,-0.862745,-2.030986
439891302,2.688218,2.600184,2.619499,2.634856,-0.223137,-0.856891,-2.034159
439921001,2.687965,2.599881,2.619207,2.634178,-0.215064,-0.859454,-2.030300
439935702,2.687980,2.600012,2.619499,2.632735,-0.192544,-0.876444,-2.027869
439950576,2.688218,2.600184,2.619499,2.633894,-0.210892,-0.868727,-2.031884
439965201,2.688471,2.600012,2.619020,2.632735,-0.209611,-0.887786,-2.028450
439979103,2.687980,2.600012,2.619020,2.634178,-0.215067,-0.864884,-2.030405
439994668,2.687980,2.600012,2.619207,2.635536,-0.230664,-0.845782,-2.033953
440009225,2.687965,2.599881,2.619207,2.633697,-0.208961,-0.865340,-2.029161
440022850,2.688218,2.600053,2.619499,2.634375,-0.219031,-0.859906,-2.032612
440037100,2.687980,2.600012,2.619499,2.636783,-0.243906,-0.826403,-2.037408
440050875,2.688218,2.600012,2.619020,2.633216,-0.209111,-0.879211,-2.028840
440070201,2.687965,2.600012,2.619020,2.633697,-0.208590,-0.870589,-2.029222
440085125,2.687980,2.600012,2.619020,2.633894,-0.211466,-0.868349,-2.029733
440100248,2.688218,2.600184,2.619393,2.637182,-0.253646,-0.829324,-2.039394
440116672,2.688218,2.600012,2.619685,2.633412,-0.205750,-0.868463,-2.030549
440133040,2.688218,2.600012,2.619207,2.635819,-0.240603,-0.844931,-2.035331
440146973,2.687980,2.599881,2.619499,2.634091,-0.211769,-0.856962,-2.030681
440160346,2.687980,2.600012,2.619207,2.636982,-0.249000,-0.827768,-2.037325
440173873,2.688471,2.600012,2.619020,2.634856,-0.236686,-0.862013,-2.033475
440187624,2.687965,2.599709,2.619207,2.636982,-0.253291,-0.820852,-2.036321
440201498,2.687980,2.600012,2.619020,2.634375,-0.217570,-0.862472,-2.030871
440219920,2.688218,2.600184,2.619499,2.635819,-0.235386,-0.844959,-2.036420
440233923,2.687980,2.600012,2.619685,2.635338,-0.223927,-0.842042,-2.034377
440247665,2.688218,2.599881,2.619580,2.635819,-0.239355,-0.837150,-2.035611
440261947,2.687980,2.599709,2.619020,2.635819,-0.240533,-0.837968,-2.033312
440277161,2.687980,2.600012,2.618728,2.633894,-0.214024,-0.872055,-2.029178
440293286,2.688218,2.599709,2.619207,2.635054,-0.235518,-0.847672,-2.032582
440309037,2.687980,2.599881,2.618728,2.632735,-0.201326,-0.883161,-2.026016
440323822,2.688218,2.600012,2.619207,2.635819,-0.240603,-0.844931,-2.035331
440338821,2.688218,2.600184,2.619020,2.634375,-0.221232,-0.868930,-2.032122
440353170,2.688471,2.600184,2.619207,2.634178,-0.223767,-0.871759,-2.032765
440371370,2.688218,2.599537,2.618542,2.636699,-0.264825,-0.832164,-2.034618
440384093,2.687727,2.599881,2.619020,2.635338,-0.225106,-0.844915,-2.031966
440397370,2.687980,2.600184,2.619207,2.634375,-0.213304,-0.863910,-2.031757
440411437,2.688218,2.600184,2.619207,2.634856,-0.225716,-0.860650,-2.033610
440425244,2.688218,2.599709,2.619207,2.632735,-0.205973,-0.876047,-2.027097
440438284,2.688218,2.599537,2.619207,2.634091,-0.225868,-0.855756,-2.029771
440451419,2.687980,2.600184,2.619499,2.633216,-0.196015,-0.874379,-2.029551
440464242,2.687980,2.600184,2.619207,2.634375,-0.213304,-0.863910,-2.031757
440478369,2.687727,2.600053,2.618914,2.636018,-0.231997,-0.841704,-2.033896
440492844,2.688471,2.600184,2.619020,2.632254,-0.200865,-0.897360,-2.027834
440516492,2.687727,2.600012,2.619499,2.635338,-0.218880,-0.841635,-2.033268
440530943,2.688218,2.599537,2.619020,2.634573,-0.233623,-0.852213,-2.030559
440544994,2.688218,2.599881,2.619207,2.634091,-0.220622,-0.863306,-2.030855
440559891,2.688218,2.600184,2.619207,2.632735,-0.198739,-0.886496,-2.028578
440574317,2.688471,2.600012,2.619020,2.633128,-0.214626,-0.883046,-2.029386
440589407,2.688218,2.599709,2.619207,2.636217,-0.250327,-0.833246,-2.035299
440604215,2.687980,2.600012,2.619207,2.635338,-0.228148,-0.848237,-2.033488
440620784,2.688471,2.599881,2.619499,2.633412,-0.216066,-0.870686,-2.030550
440635467,2.688471,2.600012,2.619207,2.634856,-0.235060,-0.859622,-2.033827
440650191,2.688218,2.600012,2.619499,2.631773,-0.186536,-0.890695,-2.026287
440669341,2.687727,2.599881,2.619207,2.633697,-0.202717,-0.862709,-2.028441
440682192,2.687980,2.599537,2.619207,2.635819,-0.241549,-0.831761,-2.033114
440696215,2.687980,2.599537,2.619020,2.634573,-0.227329,-0.849585,-2.029847
440709281,2.687727,2.600184,2.619020,2.633216,-0.193651,-0.877597,-2.027889
440722690,2.688218,2.600012,2.619499,2.634375,-0.219654,-0.859005,-2.032484
440737738,2.688218,2.599881,2.618728,2.633216,-0.213662,-0.879981,-2.027876
440752563,2.687965,2.600012,2.619499,2.636301,-0.237411,-0.832284,-2.036243
440767155,2.688471,2.599881,2.619207,2.634856,-0.237074,-0.856704,-2.033413
440781815,2.687727,2.599881,2.619020,2.636982,-0.245894,-0.824460,-2.035802
440797289,2.688218,2.600184,2.619020,2.634375,-0.221232,-0.868930,-2.032122
440819364,2.688471,2.600184,2.619020,2.636301,-0.252480,-0.848060,-2.037395
440833965,2.687727,2.599709,2.619207,2.633894,-0.207833,-0.856527,-2.028370
440848814,2.688218,2.599881,2.619207,2.633894,-0.218111,-0.865719,-2.030388
440863384,2.688471,2.600012,2.619499,2.632254,-0.199262,-0.887649,-2.028201
440878164,2.687980,2.600012,2.619207,2.634375,-0.215936,-0.860096,-2.031221
440891961,2.688218,2.599881,2.619020,2.636301,-0.250373,-0.838456,-2.035689
440905863,2.688218,2.600184,2.619207,2.634573,-0.222109,-0.864132,-2.032942
440920780,2.688471,2.600012,2.619872,2.635819,-0.241505,-0.839076,-2.037326
440935063,2.688471,2.600184,2.619207,2.634178,-0.223767,-0.871759,-2.032765
440950212,2.688218,2.600012,2.619207,2.634856,-0.228351,-0.856825,-2.033072
440971313,2.687980,2.599537,2.619207,2.635338,-0.235431,-0.837746,-2.031989
440986152,2.688218,2.600053,2.619207,2.632931,-0.203236,-0.881222,-2.028639
441000610,2.687727,2.600184,2.619020,2.635054,-0.216877,-0.855144,-2.032245
441015687,2.688218,2.600012,2.619207,2.634375,-0.222227,-0.862735,-2.031938
441030711,2.688471,2.600012,2.619020,2.634091,-0.226919,-0.871362,-2.031670
441045526,2.688218,2.599709,2.619100,2.634573,-0.230311,-0.854970,-2.031251
441058461,2.687980,2.600012,2.619207,2.634856,-0.222041,-0.854179,-2.032356
441072009,2.687727,2.600012,2.618728,2.635819,-0.231731,-0.845683,-2.032952
441086788,2.688218,2.600012,2.619020,2.635536,-0.238628,-0.850852,-2.034317
441100486,2.687980,2.599881,2.619685,2.634856,-0.219840,-0.845121,-2.032830
441120558,2.688218,2.600184,2.619207,2.634375,-0.219596,-0.866553,-2.032475
441134787,2.688218,2.600184,2.618728,2.634856,-0.229907,-0.866803,-2.032699
441148683,2.687980,2.599709,2.619020,2.633216,-0.207481,-0.869928,-2.027178
441162809,2.688218,2.600012,2.619020,2.634856,-0.229980,-0.859216,-2.032721
441177284,2.687980,2.600012,2.618914,2.634178,-0.216000,-0.866240,-2.030204
441191812,2.688218,2.600012,2.619207,2.636018,-0.243131,-0.842464,-2.035795
441206560,2.688218,2.600012,2.619393,2.634856,-0.226715,-0.854431,-2.033422
441220775,2.687980,2.599709,2.619499,2.633894,-0.211896,-0.855614,-2.029673
441235273,2.688218,2.600012,2.619020,2.634375,-0.223858,-0.865110,-2.031587
441248206,2.688218,2.599881,2.619020,2.633894,-0.219739,-0.868076,-2.030038
441265683,2.687980,2.599881,2.619207,2.637746,-0.260722,-0.815219,-2.038676
441278658,2.688218,2.600012,2.619020,2.634375,-0.223858,-0.865110,-2.031587
441294483,2.688218,2.600184,2.619207,2.633216,-0.204854,-0.880677,-2.029725
441308005,2.688218,2.600184,2.619207,2.632931,-0.201235,-0.884123,-2.029046
441321833,2.688471,2.600012,2.619499,2.634375,-0.226349,-0.861797,-2.033242
441335358,2.687980,2.600012,2.619020,2.635819,-0.235884,-0.844697,-2.034266
441350232,2.688471,2.600012,2.619020,2.635819,-0.248975,-0.850167,-2.035731
441363824,2.687727,2.600012,2.619207,2.633412,-0.197115,-0.869072,-2.028174
441378107,2.688218,2.599709,2.619393,2.635253,-0.236418,-0.842817,-2.033394
441391728,2.687727,2.599881,2.619207,2.633697,-0.202717,-0.862709,-2.028441
441411457,2.687965,2.599881,2.618728,2.633412,-0.209542,-0.874828,-2.027586
441426556,2.688218,2.600012,2.619207,2.632735,-0.201358,-0.882702,-2.028044
441443032,2.687980,2.599881,2.619207,2.632735,-0.197131,-0.877200,-2.026917
441460254,2.688218,2.600012,2.619207,2.633412,-0.209978,-0.874486,-2.029658
441473605,2.688471,2.599881,2.619685,2.635054,-0.235406,-0.848104,-2.034771
441487844,2.687965,2.599881,2.619207,2.634375,-0.217568,-0.857032,-2.030766
441501520,2.688218,2.599709,2.619207,2.633412,-0.214603,-0.867814,-2.028708
441515330,2.687980,2.599881,2.619207,2.632254,-0.191029,-0.883016,-2.025768
441530356,2.688218,2.599709,2.619499,2.634856,-0.230439,-0.846365,-2.032660
441545144,2.687980,2.600012,2.619393,2.636018,-0.235139,-0.837368,-2.035429
441565948,2.687980,2.600012,2.619499,2.635338,-0.225575,-0.844454,-2.034033
441580855,2.687980,2.600012,2.619207,2.635338,-0.228148,-0.848237,-2.033488
441595529,2.688218,2.600184,2.619207,2.634091,-0.215984,-0.870026,-2.031803
441607930,2.688471,2.600012,2.619499,2.634375,-0.226349,-0.861797,-2.033242
441623143,2.688218,2.600012,2.618914,2.632931,-0.206425,-0.883983,-2.027960
441638029,2.687727,2.599537,2.618728,2.636301,-0.245085,-0.829199,-2.032585
441650453,2.688218,2.599537,2.619020,2.634856,-0.237238,-0.848725,-2.031225
441663649,2.687980,2.599537,2.619499,2.632450,-0.196170,-0.869535,-2.025700
441677778,2.688218,2.599881,2.618914,2.633412,-0.214544,-0.875268,-2.028696
441690303,2.688471,2.600356,2.619499,2.633894,-0.214925,-0.875351,-2.033181
441708652,2.688471,2.600012,2.619685,2.636783,-0.255457,-0.829443,-2.039224
441721644,2.688218,2.600012,2.619207,2.634573,-0.224742,-0.860311,-2.032404
441734452,2.688218,2.600184,2.619020,2.634573,-0.223744,-0.866515,-2.032589
441748123,2.687489,2.599709,2.619207,2.633216,-0.193062,-0.862199,-2.026039
441760150,2.688218,2.599709,2.619207,2.635338,-0.239128,-0.844168,-2.033246
441772801,2.688218,2.600184,2.619207,2.632254,-0.192624,-0.892293,-2.027427
441785601,2.688218,2.600184,2.619207,2.633216,-0.204854,-0.880677,-2.029725
441798549,2.688471,2.599537,2.619020,2.633128,-0.221845,-0.872611,-2.027897
441813722,2.687980,2.599537,2.619207,2.635735,-0.240474,-0.832814,-2.032916
441826643,2.688218,2.600356,2.619207,2.635819,-0.235311,-0.852631,-2.036409
441846101,2.688471,2.600012,2.619020,2.634856,-0.236686,-0.862013,-2.033475
441858526,2.687727,2.599537,2.619020,2.630331,-0.166964,-0.898126,-2.018962
441871998,2.687727,2.599709,2.619207,2.635819,-0.232205,-0.832730,-2.032899
441884324,2.687980,2.599709,2.619685,2.635338,-0.228602,-0.835338,-2.033416
441897900,2.688218,2.600012,2.618728,2.634856,-0.232529,-0.862973,-2.032164
441912397,2.687980,2.599537,2.619020,2.635338,-0.237048,-0.840149,-2.031642
441925301,2.687980,2.599881,2.619207,2.632735,-0.197131,-0.877200,-2.026917
441940099,2.687965,2.600012,2.619499,2.635536,-0.227710,-0.841828,-2.034455
441954721,2.688218,2.599709,2.619207,2.633128,-0.210978,-0.871278,-2.028032
441968800,2.687980,2.599881,2.619499,2.634375,-0.215375,-0.853463,-2.031352
441987223,2.687980,2.599881,2.619207,2.634375,-0.217947,-0.857191,-2.030810
442001023,2.688471,2.600184,2.619393,2.633412,-0.212361,-0.878726,-2.031302
442014573,2.688471,2.600012,2.619499,2.632450,-0.201764,-0.885279,-2.028670
442028571,2.687980,2.599537,2.619020,2.635338,-0.237048,-0.840149,-2.031642
