timestamp,L0,L1,L2,L3,dX,dY,dZ
6562393,4.174500,4.195168,4.186214,4.159541,-1.533825,-6.884428,-1.001266
6625389,4.175263,4.151710,4.186214,4.188772,-2.063054,-5.502103,-1.062780
6649387,4.148675,4.194402,4.186214,4.188772,-1.660056,-7.465770,-1.076304
6665187,4.175263,4.196702,4.186214,4.188772,-1.765402,-7.167807,-1.034279
6722689,4.174500,4.196702,4.171449,4.188772,-1.845221,-7.548004,-1.027173
6735687,4.175263,4.196702,4.186979,4.188772,-1.761061,-7.148639,-1.034719
6780251,4.174500,4.194402,4.158544,4.188772,-1.938596,-7.782535,-1.020696
6794036,4.174500,4.196702,4.171963,4.189538,-1.849245,-7.541589,-1.028352
6807561,4.175263,4.196702,4.186214,4.188772,-1.765402,-7.167807,-1.034279
6820314,4.174500,4.197469,4.186214,4.188772,-1.756006,-7.207179,-1.035247
6834001,4.174500,4.194402,4.186979,4.188772,-1.776140,-7.073425,-1.036454
6927011,4.174500,4.181627,4.186979,4.188006,-1.864130,-6.590872,-1.040340
6946261,4.174500,4.196702,4.186214,4.188772,-1.762206,-7.178530,-1.035423
6962586,4.175263,4.195935,4.186214,4.174751,-1.652623,-7.025684,-1.017722
6977261,4.175263,4.195168,4.186214,4.188772,-1.777601,-7.110576,-1.034667
6992286,4.175263,4.196702,4.186214,4.188772,-1.765402,-7.167807,-1.034279
7006961,4.174500,4.196702,4.186979,4.188006,-1.751226,-7.153146,-1.034939
7020261,4.174500,4.195168,4.186214,4.188006,-1.767762,-7.115106,-1.034873
7035536,4.174500,4.194899,4.186979,4.188772,-1.772217,-7.092014,-1.036319
7049035,4.174500,4.194402,4.172725,4.188772,-1.858204,-7.429997,-1.028340
7063185,4.175263,4.195168,4.186214,4.189036,-1.779926,-7.112686,-1.034989
7084125,4.175263,4.195935,4.186214,4.173987,-1.646365,-7.019468,-1.016824
7098085,4.175263,4.194402,4.172725,4.188772,-1.861433,-7.419050,-1.027198
7112260,4.174500,4.194402,4.171963,4.188772,-1.862561,-7.449014,-1.027918
7125885,4.174500,4.196702,4.186979,4.188772,-1.757872,-7.159344,-1.035863
7142010,4.174751,4.196702,4.186214,4.174500,-1.642918,-7.058559,-1.018086
7156785,4.174500,4.195168,4.186979,4.188006,-1.763377,-7.095945,-1.035315
7171750,4.174500,4.194402,4.186214,4.188772,-1.780568,-7.092593,-1.036008
7184786,4.174500,4.196702,4.186979,4.188772,-1.757872,-7.159344,-1.035863
7197750,4.175263,4.196702,4.186979,4.188772,-1.761061,-7.148639,-1.034719
7210838,4.174500,4.195168,4.186979,4.188772,-1.770089,-7.102068,-1.036247
7236685,4.177042,4.180606,4.186979,4.188772,-1.886253,-6.524790,-1.038382
7249760,4.174500,4.195935,4.171963,4.174500,-1.724472,-7.386203,-1.011059
7264310,4.177042,4.195168,4.186214,4.189036,-1.787080,-7.087900,-1.032356
7279061,4.176278,4.195168,4.186979,4.188772,-1.777285,-7.077294,-1.033607
7294249,4.175263,4.194402,4.186979,4.188772,-1.779207,-7.062807,-1.035323
7307512,4.174500,4.197469,4.186214,4.188772,-1.756006,-7.207179,-1.035247
7321285,4.175263,4.180862,4.186214,4.188772,-1.884086,-6.576700,-1.040189
