Time,Tx,Ty,Tz,Roll,Pitch,Yaw,S0_L0,S0_L1,S0_L2,S0_L3
1779276576.750509,-5.0,-5.0,-5.0,0,0,0,13.733771360909877,13.73530368599625,13.631224586409829,13.744149432682438
1779276576.7549415,-5.0,-5.0,-5.0,0,0,0,13.733771360909877,13.735213643984633,13.63105681770254,13.744149432682438
1779276576.7579527,-5.0,-5.0,-5.0,0,0,0,13.733771360909877,13.735213643984633,13.63105681770254,13.743787188778793
1779276576.761953,-5.0,-5.0,-5.0,0,0,0,13.733861388739387,13.735213643984633,13.63105681770254,13.743787188778793
1779276576.7659707,-5.0,-5.0,-5.0,0,0,0,13.733861388739387,13.73530368599625,13.63105681770254,13.743787188778793
1779276576.7699695,-5.0,-5.0,-5.0,0,0,0,13.733861388739387,13.73530368599625,13.631147549373939,13.743787188778793
1779276577.8288682,-5.0,-4.0,-5.0,0,0,0,13.733407795988956,13.732682440545467,13.636586256083202,13.74452035754785
1779276577.8321958,-5.0,-4.0,-5.0,0,0,0,13.733679602686877,13.733052901300615,13.636406397950463,13.744156365719782
1779276577.8352365,-5.0,-4.0,-5.0,0,0,0,13.733407795988956,13.733052901300615,13.636406397950463,13.744156365719782
1779276577.837106,-5.0,-4.0,-5.0,0,0,0,13.733407795988956,13.733052901300615,13.636406397950463,13.744156365719782
1779276577.8398747,-5.0,-4.0,-5.0,0,0,0,13.733407795988956,13.73277418877519,13.636406397950463,13.744156365719782
1779276577.8430245,-5.0,-4.0,-5.0,0,0,0,13.733407795988956,13.73277418877519,13.636406397950463,13.744156365719782
1779276578.8623674,-5.0,-3.0,-5.0,0,0,0,13.733052901300615,13.729442413506247,13.642568137225089,13.745147844074848
1779276578.8655932,-5.0,-3.0,-5.0,0,0,0,13.733226018942204,13.729615462881878,13.643108088068457,13.745050771526376
1779276578.8686147,-5.0,-3.0,-5.0,0,0,0,13.733226018942204,13.729615462881878,13.642928100892327,13.745050771526376
1779276578.8686147,-5.0,-3.0,-5.0,0,0,0,13.733226018942204,13.729615462881878,13.642928100892327,13.745237983790648
1779276578.8765693,-5.0,-3.0,-5.0,0,0,0,13.733226018942204,13.729615462881878,13.642928100892327,13.745237983790648
1779276578.8795805,-5.0,-3.0,-5.0,0,0,0,13.733226018942204,13.729615462881878,13.642928100892327,13.745237983790648
1779276579.8616197,-5.0,-2.0,-5.0,0,0,0,13.732781113207201,13.725018652121781,13.649442475896123,13.745419999381218
1779276579.8616197,-5.0,-2.0,-5.0,0,0,0,13.732599348602541,13.7252902098041,13.649351561501657,13.745419999381218
1779276579.8616197,-5.0,-2.0,-5.0,0,0,0,13.732599348602541,13.7252902098041,13.649351561501657,13.745419999381218
1779276579.8709824,-5.0,-2.0,-5.0,0,0,0,13.732599348602541,13.7252902098041,13.649351561501657,13.74569216277072
1779276579.8709824,-5.0,-2.0,-5.0,0,0,0,13.732689364908085,13.7252902098041,13.649351561501657,13.74569216277072
1779276579.8709824,-5.0,-2.0,-5.0,0,0,0,13.732689364908085,13.7252902098041,13.649351561501657,13.74569216277072
1779276580.91111,-5.0,-1.0,-5.0,0,0,0,13.732417587606562,13.72024954518888,13.655882554425844,13.74604928113564
1779276580.91111,-5.0,-1.0,-5.0,0,0,0,13.732237561224885,13.720422420789193,13.655882554425844,13.746593653379348
1779276580.91111,-5.0,-1.0,-5.0,0,0,0,13.732237561224885,13.720422420789193,13.655882554425844,13.746593653379348
1779276580.91111,-5.0,-1.0,-5.0,0,0,0,13.732237561224885,13.720339440093278,13.655882554425844,13.746593653379348
1779276580.9267502,-5.0,-1.0,-5.0,0,0,0,13.732237561224885,13.720339440093278,13.656153779475396,13.746593653379348
1779276580.9304082,-5.0,-1.0,-5.0,0,0,0,13.732237561224885,13.720339440093278,13.656153779475396,13.746501766623913
1779276581.9771435,-5.0,0.0,-5.0,0,0,0,13.73178404891744,13.714750349216725,13.66232890967095,13.746865851627815
1779276581.9771435,-5.0,0.0,-5.0,0,0,0,13.731429217167424,13.714216505369267,13.662588301814152,13.746865851627815
1779276581.9771435,-5.0,0.0,-5.0,0,0,0,13.731429217167424,13.714216505369267,13.662598608939328,13.746865851627815
1779276581.9771435,-5.0,0.0,-5.0,0,0,0,13.731429217167424,13.714216505369267,13.662598608939328,13.747046165747161
1779276581.9771435,-5.0,0.0,-5.0,0,0,0,13.731429217167424,13.714216505369267,13.662598608939328,13.747046165747161
1779276581.9923723,-5.0,0.0,-5.0,0,0,0,13.731512298490376,13.714216505369267,13.662598608939328,13.747046165747161
1779276583.0281332,-5.0,1.0,-5.0,0,0,0,13.731157477273358,13.708095941983133,13.668226322586037,13.747311442006174
1779276583.0319462,-5.0,1.0,-5.0,0,0,0,13.73114882326914,13.708187443928693,13.667877389182927,13.747675559177928
1779276583.035949,-5.0,1.0,-5.0,0,0,0,13.730884014695535,13.708187443928693,13.667877389182927,13.747675559177928
1779276583.038949,-5.0,1.0,-5.0,0,0,0,13.730884014695535,13.707914667249234,13.667877389182927,13.747675559177928
