Time,Tx,Ty,Tz,Roll,Pitch,Yaw,S0_L0,S0_L1,S0_L2,S0_L3
1779273871.4173288,-5.0,-5.0,-5.0,0,0,0,13.682936642295813,13.642928100892327,13.618559916148293,13.756533261995925
1779273871.4213314,-5.0,-5.0,-5.0,0,0,0,13.683115700059949,13.642748117277902,13.618035097590742,13.75644301114775
1779273871.4243267,-5.0,-5.0,-5.0,0,0,0,13.682945250761737,13.642748117277902,13.618035097590742,13.75644301114775
1779273871.427841,-5.0,-5.0,-5.0,0,0,0,13.682945250761737,13.642748117277902,13.618035097590742,13.75644301114775
1779273871.4318407,-5.0,-5.0,-5.0,0,0,0,13.682945250761737,13.642748117277902,13.618035097590742,13.75644301114775
1779273871.4366798,-5.0,-5.0,-5.0,0,0,0,13.682945250761737,13.642748117277902,13.618394090719702,13.756351025620267
1779273872.4527543,-5.0,-4.0,-5.0,0,0,0,13.682845393056457,13.6400590720323,13.624093725629068,13.756896009940558
1779273872.4562902,-5.0,-4.0,-5.0,0,0,0,13.682664618956956,13.640071067281774,13.623914114592019,13.75698626524671
1779273872.4590585,-5.0,-4.0,-5.0,0,0,0,13.682664618956956,13.640071067281774,13.624275050850203,13.75698626524671
1779273872.462066,-5.0,-4.0,-5.0,0,0,0,13.682664618956956,13.640071067281774,13.624275050850203,13.75698626524671
1779273872.464067,-5.0,-4.0,-5.0,0,0,0,13.682664618956956,13.640071067281774,13.624275050850203,13.756805755522608
1779273872.4691713,-5.0,-4.0,-5.0,0,0,0,13.682764474683303,13.640071067281774,13.624275050850203,13.756805755522608
1779273873.4635568,-5.0,-3.0,-5.0,0,0,0,13.682483848439942,13.636675329999768,13.630685340872668,13.75779860297311
1779273873.468731,-5.0,-3.0,-5.0,0,0,0,13.682404654865751,13.63631561376815,13.63105681770254,13.757531287317176
1779273873.4727063,-5.0,-3.0,-5.0,0,0,0,13.682404654865751,13.63631561376815,13.630788051841284,13.757531287317176
1779273873.475708,-5.0,-3.0,-5.0,0,0,0,13.682404654865751,13.63631561376815,13.630788051841284,13.757350766865896
1779273873.4787624,-5.0,-3.0,-5.0,0,0,0,13.682494178087268,13.63631561376815,13.630788051841284,13.757350766865896
1779273873.482782,-5.0,-3.0,-5.0,0,0,0,13.682494178087268,13.63631561376815,13.630788051841284,13.757350766865896
1779273874.5160449,-5.0,-2.0,-5.0,0,0,0,13.681862369516741,13.632034370764018,13.637396518269117,13.75779860297311
1779273874.5190458,-5.0,-2.0,-5.0,0,0,0,13.681951887416087,13.632034370764018,13.637562690896603,13.758161400968152
1779273874.523047,-5.0,-2.0,-5.0,0,0,0,13.681951887416087,13.632034370764018,13.637562690896603,13.758161400968152
1779273874.5260444,-5.0,-2.0,-5.0,0,0,0,13.681951887416087,13.632304885632594,13.637562690896603,13.758161400968152
1779273874.5280516,-5.0,-2.0,-5.0,0,0,0,13.681951887416087,13.632304885632594,13.637562690896603,13.758161400968152
1779273874.5315747,-5.0,-2.0,-5.0,0,0,0,13.681951887416087,13.632304885632594,13.637305724199074,13.758161400968152
